utopia_name,lat,lon,n_stops_300m,n_routes_300m,n_modes_300m,weekday_trips_300m,weekend_trips_300m,min_headway_min_300m,peak_headway_min_300m,has_metro_300m,has_brt_300m,max_mode_score_300m,n_stops_500m,n_routes_500m,n_modes_500m,weekday_trips_500m,weekend_trips_500m,min_headway_min_500m,peak_headway_min_500m,has_metro_500m,has_brt_500m,max_mode_score_500m,n_stops_1km,n_routes_1km,n_modes_1km,weekday_trips_1km,weekend_trips_1km,min_headway_min_1km,peak_headway_min_1km,has_metro_1km,has_brt_1km,max_mode_score_1km,transit_score,weekend_transit_ratio
atzintli,19.34492695799724,-99.01933276806848,32,19,4,7709.9310822510815,7278.8638196250395,2.0,2.0,False,False,3,57,21,4,12640.151616161616,11406.727029067393,2.0,2.0,False,False,3,228,37,5,78880.64254329004,66276.9069184368,2.0,2.0,False,False,3,0.4093364086121832,0.8402176349167508
barco,19.36216993705044,-99.05721947934809,15,14,3,7593.878373015873,6674.845453712954,4.0,4.0,False,False,2,39,17,3,15364.964484126984,12992.604586247086,4.0,4.0,False,False,2,93,22,3,31032.65694444444,26127.152493894995,3.0,3.0,False,False,2,0.19357990421675683,0.8419244456144565
cuauhtlicalli,19.366694324505453,-99.11074338071082,19,11,4,8248.480051150895,7360.304761904761,2.8333333333333335,2.8333333333333335,True,True,5,40,18,5,14103.555822372427,12072.536488095237,2.8333333333333335,2.8333333333333335,True,True,5,87,22,5,28344.65835489969,24228.084903736613,2.8333333333333335,2.8333333333333335,True,True,5,0.5341398142104555,0.8547672228177878
ixtapalcalli,19.359563871196155,-99.09415660309014,60,30,4,28344.575730930053,22670.015168513462,2.8333333333333335,2.8333333333333335,True,False,5,87,32,4,41285.56458703771,33002.57511525463,2.8333333333333335,2.8333333333333335,True,False,5,212,55,4,102412.57308933322,82143.76078606481,2.8333333333333335,2.8333333333333335,True,False,5,0.6644831136597757,0.8020866804548679
la_cascada,19.38160871675601,-99.02496231185353,11,33,2,13645.734848484848,12193.021814417469,1.0,3.0,False,False,2,24,35,2,24361.801515151517,20866.473113118765,1.0,3.0,False,False,2,95,53,2,58009.14437229437,48703.61142480708,1.0,3.0,False,False,2,0.350291888131922,0.8395850680408986
libertad,19.324759829765437,-99.06522804912515,25,14,3,6040.572727272727,5381.371428571429,5.0,5.0,False,False,2,47,15,3,10267.803787878787,8960.07380952381,5.0,5.0,False,False,2,137,25,3,36474.888333333336,31221.6486996337,5.0,5.0,False,False,2,0.2271555867443257,0.8559765396485436
meyehualco,19.34470042041294,-99.04856407963904,30,23,4,12450.135140268228,10562.763417012564,3.0,3.0,False,False,3,80,37,4,31018.204769331973,25578.819365811803,3.0,3.0,False,False,3,203,41,4,79010.42366246498,65883.10724582797,3.0,3.0,False,False,3,0.39817268285286384,0.8338533599982033
olini,19.38046562804037,-99.0460271684439,26,24,4,8285.142857142857,7885.420346320347,3.0,3.0,False,True,4,67,28,4,34205.293650793654,29226.443578643575,3.0,3.0,False,True,4,237,115,5,162784.76542364256,139151.45635684562,1.0,3.0,True,True,5,0.9372003501713722,0.854818668041251
papalotl,19.34268055854134,-99.03197538324915,43,27,4,15255.938412274,14278.042658518878,4.0,4.0,False,False,3,73,29,4,24965.797785841612,22829.308395115833,3.0,3.0,False,False,3,172,32,4,50502.72250785162,45328.451694342424,3.0,3.0,False,False,3,0.31861250374460526,0.8975447152833245
quetzalcoatl,19.326966907265636,-99.04322470231163,52,12,2,24486.25,19502.190476190477,2.0,2.0,False,False,3,94,19,4,35318.31920634921,27845.640634920634,2.0,2.0,False,False,3,192,26,4,63121.85023088023,51270.45227513227,2.0,2.0,False,False,3,0.3144534208874951,0.8122457134510601
tecoloxtitlan,19.361538410400904,-99.02068184440444,11,2,1,1380.8571428571427,1616.6428571428573,7.0,7.0,False,False,1,15,3,1,1726.6428571428569,1956.2857142857147,7.0,7.0,False,False,1,73,16,3,9144.614285714286,8746.12987012987,5.0,5.0,False,False,2,0.02499999999375,0.956424141780706
teotongo,19.35554692480012,-98.99334724239777,41,80,2,37138.27954545454,36640.74466403162,1.0,1.0,False,False,2,116,134,5,95307.28901413007,92619.35335423212,1.0,1.0,True,False,5,227,152,6,159342.18620027724,149627.98872117556,1.0,1.0,True,False,5,0.8977728158054538,0.939035620693117
tezontli,19.309766845299787,-99.0724708602763,24,22,3,15457.138961038963,12742.392857142857,3.0,3.0,False,False,2,51,28,3,30006.513636363637,24794.428571428572,3.0,3.0,False,False,2,173,45,6,76857.50864357865,66300.77337961321,3.0,3.0,True,True,5,0.7577150201431866,0.8626453621737654
